"ID","Name","Event ID","Title","Date Created","Date Modified","Permalink","Description","Start Date","End Date","Category","Category Slug","Hosts"
"66","Deep Dive: Climate Anxiety","","Deep Dive: Climate Anxiety","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>Join us for this Deep Dive training with Megan Kennedy-Woodard on climate anxiety. Climate urgency is a global concern, but also a personal one. The environmental and social challenges facing the world today are feeding persistent worries about the Ear","2022-06-07 17:00:00","2022-06-07 18:00:00","Global Network Meeting","global-network-meeting",""
"67","Office Hours","","Office Hours","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>These biweekly office hours help new champions and those who would like to have guidance into Ki Futures to understand the structure of the program and where to find everything they need to support their sustainability journey.</p>","2022-06-09 17:00:00","2022-06-09 18:00:00","Office Hours","office-hours",""
"68","Core Training: Education &#038; Engagement","","Core Training: Education &#038; Engagement","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>Education and engagement are at the heart of what we do as cultural professionals. From our programming and our exhibitions to our artworks and performances &#8211; every output has the chance to change a person fundamentally. So how can we harness thi","2022-06-14 17:00:00","2022-06-14 18:00:00","Core Training","core-training",""
"69","Christopher &#8211; Regional Network Meeting","","Christopher &#8211; Regional Network Meeting","2022-07-18 11:45:53","2022-07-26 05:56:35","","","2022-06-20 13:30:00","2022-06-20 14:30:00","Regional Network Meeting","regional-network-meeting",""
"70","Alice &#8211; Regional Network Meeting","","Alice &#8211; Regional Network Meeting","2022-07-18 11:45:53","2022-07-26 05:56:35","","","2022-06-21 11:00:00","2022-06-21 12:00:00","Regional Network Meeting","regional-network-meeting",""
"71","Charlotte &#8211; Regional Network Meeting","","Charlotte &#8211; Regional Network Meeting","2022-07-18 11:45:53","2022-07-26 05:56:35","","","2022-06-22 12:00:00","2022-06-22 13:00:00","Regional Network Meeting","regional-network-meeting",""
"72","Office Hours","","Office Hours","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>These biweekly office hours help new champions and those who would like to have guidance into Ki Futures to understand the structure of the program and where to find everything they need to support their sustainability journey.</p>","2022-06-23 00:00:00","2022-06-23 01:00:00","Office Hours","office-hours",""
"73","Douglas &#8211; Regional Network Meeting","","Douglas &#8211; Regional Network Meeting","2022-07-18 11:45:53","2022-07-26 05:56:35","","","2022-06-23 15:00:00","2022-06-23 16:00:00","Regional Network Meeting","regional-network-meeting",""
"74","Kim &#8211; Regional Network Meeting","","Kim &#8211; Regional Network Meeting","2022-07-18 11:45:53","2022-07-26 05:56:35","","","2022-06-23 18:00:00","2022-06-23 19:00:00","Regional Network Meeting","regional-network-meeting",""
"75","Nicole &#8211; Regional Network Meeting","","Nicole &#8211; Regional Network Meeting","2022-07-18 11:45:53","2022-07-26 05:56:35","","","2022-06-24 11:00:00","2022-06-24 12:00:00","Regional Network Meeting","regional-network-meeting",""
"76","Deep Dive: Certification and Accreditation with Angela Moore","","Deep Dive: Certification and Accreditation with Angela Moore","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p><span style=\"font-weight: 400;\">One of the many pathways for greening a museum or cultural site is through green building certifications.  With an integrative approach to implementing environmental sustainability practices for any organization, green b","2022-06-28 17:00:00","2022-06-28 18:00:00","Deep Dive Training","deep-dive-training",""
"77","Title TBD","","Title TBD","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>Some text goes here.</p>","2022-07-05 17:00:00","2022-07-05 18:00:00","Workshop","workshop","45"
"78","Social: Curators and Exhibitions","","Social: Curators and Exhibitions","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>Each first Wednesday of the month, we are inviting everyone to get together during this informal gathering with different themes. This month’s theme is Curators and exhibitions and the event will be hosted by Hannah Magnetta-Beck.</p>","2022-07-06 08:00:00","2022-07-06 09:00:00","Social","social","216,333,291"
"79","Office Hours","","Office Hours","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>These biweekly office hours help new champions and those who would like to have guidance into Ki Futures to understand the structure of the program and where to find everything they need to support their sustainability journey.</p>","2022-07-07 08:00:00","2022-07-07 09:00:00","Office Hours","office-hours",""
"80","Global Network Meeting: Champion Presentations","","Global Network Meeting: Champion Presentations","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>Share your work with your colleagues around the world! This is your chance to present and share your successes or ideas to get feedback and inspire. Make sure to let your Coach know if you want to present at this event!</p>","2022-07-12 08:00:00","2022-07-12 09:00:00","Global Network Meeting","global-network-meeting","45"
"81","Core Training: Exhibitions","","Core Training: Exhibitions","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p>Our first Core Training on Exhibitions will outline the places where we can be more environmentally conscious in our exhibition design, execution, and transport.</p>","2022-03-01 17:00:00","2022-03-01 18:00:00","Core Training","core-training",""
"82","European Theatre Convention Regional Network Meeting","","European Theatre Convention Regional Network Meeting","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p>Join our monthly RNM to connect with your Coach and other Champions. This is your time to ask questions and hear what how other Champions are progressing in their sustainability journeys.</p>","2022-03-02 15:00:00","2022-03-02 16:00:00","ETC Events","etc-events",""
"83","Christopher &#8211; Regional Network Meeting","","Christopher &#8211; Regional Network Meeting","2022-07-20 13:31:51","2022-07-21 13:24:07","","","2022-03-07 13:30:00","2022-03-07 14:30:00","Regional Network Meeting","regional-network-meeting",""
"84","Alice &#8211; Regional Network Meeting","","Alice &#8211; Regional Network Meeting","2022-07-20 13:31:51","2022-07-21 13:24:07","","","2022-03-08 11:00:00","2022-03-08 12:00:00","Regional Network Meeting","regional-network-meeting",""
"85","European Theatre Convention Core Training: Energy","","European Theatre Convention Core Training: Energy","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p>Join us for this Core Training on Energy: where does it come from and where does it go? What is the link with carbon and how can we save money by saving energy?</p>","2022-03-09 15:00:00","2022-03-09 16:00:00","ETC Events","etc-events",""
"86","Douglas &#8211; Regional Network Meeting","","Douglas &#8211; Regional Network Meeting","2022-07-20 13:31:51","2022-07-21 13:24:07","","","2022-03-10 15:00:00","2022-03-10 16:00:00","Regional Network Meeting","regional-network-meeting",""
"87","Kim &#8211; Regional Network Meeting","","Kim &#8211; Regional Network Meeting","2022-07-20 13:31:51","2022-07-21 13:24:07","","","2022-03-10 18:00:00","2022-03-10 19:00:00","Regional Network Meeting","regional-network-meeting",""
"88","Nicole &#8211; Regional Network Meeting","","Nicole &#8211; Regional Network Meeting","2022-07-20 13:31:51","2022-07-21 13:24:07","","","2022-03-11 11:00:00","2022-03-11 12:00:00","Regional Network Meeting","regional-network-meeting",""
"89","Workshop: Forming Your Team- Breaking Down Organizational Silos","","Workshop: Forming Your Team- Breaking Down Organizational Silos","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p><span style=\"font-weight: 400;\">Breaking down silos means limiting or removing divisions between people and departments in order to improve collaboration and communication within an organization or among stakeholders. In this workshop, we will discuss ","2022-03-15 17:00:00","2022-03-15 18:00:00","Workshop","workshop",""
"90","European Theatre Convention Workshop: Forming Your Team","","European Theatre Convention Workshop: Forming Your Team","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p>Join us to discuss strategy for gaining allies for your sustainability team and create a game plan for fostering a culture of sustainability at your institution.</p>","2022-03-16 15:00:00","2022-03-16 16:00:00","ETC Events","etc-events",""
"91","Orientation Session","","Orientation Session","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p>These biweekly orientation sessions help new champions and those who would like to have guidance into Ki Futures to understand the structure of the program and where to find everything they need to support their sustainability journey.</p>","2022-03-17 17:00:00","2022-03-17 18:00:00","Office Hours","office-hours",""
"92","Deep Dive Training: Behavioral Economics with Mareike Schomerus","","Deep Dive Training: Behavioral Economics with Mareike Schomerus","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p><span style=\"font-weight: 400;\">Expert <span data-sheets-value=\"{&quot;1&quot;:2,&quot;2&quot;:&quot;Mareike Schomerus&quot;}\" data-sheets-userformat=\"{&quot;2&quot;:513,&quot;3&quot;:{&quot;1&quot;:0},&quot;12&quot;:0}\">Mareike Schomerus join us in ex","2022-03-22 17:00:00","2022-03-22 18:00:00","Deep Dive Training","deep-dive-training",""
"93","European Theatre Convention Core Training: Materials","","European Theatre Convention Core Training: Materials","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p>Join us for this Core Training on Materials and the theory behind materials: Circular Economy, LCA, and the 5Rs. Learn why &#8220;waste&#8221; is a wasted word and how to look at materials differently.</p>","2022-03-23 15:00:00","2022-03-23 16:00:00","ETC Events","etc-events",""
"94","Global Network Meeting: Networking for all Ki Futures Participants and the European Theatre Convention","","Global Network Meeting: Networking for all Ki Futures Participants and the European Theatre Convention","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p>Join us for our first Global Networking Session with special guests from our ETC Pilot! Meet one-on-one with other Champions, Ki Team Members, and Coaches from around the world. Share, inspire, and connect!</p>","2022-03-29 17:00:00","2022-03-29 18:00:00","Global Network Meeting","global-network-meeting",""
"95","Orientation Session","","Orientation Session","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p>These biweekly orientation sessions help new champions and those who would like to have guidance into Ki Futures to understand the structure of the program and where to find everything they need to support their sustainability journey.</p>","2022-03-31 17:00:00","2022-03-31 18:00:00","Office Hours","office-hours",""
"96","Core Training: Energy","","Core Training: Energy","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p>Energy! One of our largest carbon contributors and the invisible culprit. Join this Core Training to learn the difference between net-zero and carbon neutral, the energy hierarchy, and how to talk about your carbon reduction plan.</p>","2022-04-05 17:00:00","2022-04-05 17:00:00","Core Training","core-training",""
"97","European Theatre Convention Deep Dive Training: Sustainability in Conversation","","European Theatre Convention Deep Dive Training: Sustainability in Conversation","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p>Sustainability… the “S” word. Sometimes when you talk about sustainability, people’s eyes glaze over and they disconnect. Many believe that the “S” word has been overused and it no longer holds much meaning. Others can get defensive or negative when we","2022-04-06 15:00:00","2022-04-06 16:00:00","ETC Events","etc-events",""
"98","Christopher &#8211; Regional Network Meeting","","Christopher &#8211; Regional Network Meeting","2022-07-20 13:31:51","2022-07-21 13:24:07","","","2022-04-11 13:30:00","2022-04-11 14:30:00","Regional Network Meeting","regional-network-meeting",""
"99","Alice &#8211; Regional Network Meeting","","Alice &#8211; Regional Network Meeting","2022-07-20 13:31:51","2022-07-21 13:24:07","","","2022-04-12 11:00:00","2022-04-12 12:00:00","Regional Network Meeting","regional-network-meeting",""
"100","European Theatre Convention Deep Dive Training: Circular Set Design","","European Theatre Convention Deep Dive Training: Circular Set Design","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p>Hosted by Sandra Goldmark, join us for a Deep Dive into circular design in theatre.</p>","2022-04-13 15:00:00","2022-04-13 16:00:00","ETC Events","etc-events",""
"101","Douglas &#8211; Regional Network Meeting","","Douglas &#8211; Regional Network Meeting","2022-07-20 13:31:51","2022-07-21 13:24:07","","","2022-04-14 15:00:00","2022-04-14 16:00:00","Regional Network Meeting","regional-network-meeting",""
"102","Kim &#8211; Regional Network Meeting","","Kim &#8211; Regional Network Meeting","2022-07-20 13:31:51","2022-07-21 13:24:07","","","2022-04-14 18:00:00","2022-04-14 19:00:00","Regional Network Meeting","regional-network-meeting",""
"103","Orientation Session","","Orientation Session","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p>These biweekly orientation sessions help new champions and those who would like to have guidance into Ki Futures to understand the structure of the program and where to find everything they need to support their sustainability journey.</p>","2022-04-14 18:00:00","2022-04-14 19:00:00","Office Hours","office-hours",""
"104","Nicole &#8211; Regional Network Meeting","","Nicole &#8211; Regional Network Meeting","2022-07-20 13:31:51","2022-07-21 13:24:07","","","2022-04-15 11:00:00","2022-04-15 12:00:00","Regional Network Meeting","regional-network-meeting",""
"105","Deep Dive: The Anthropocene","","Deep Dive: The Anthropocene","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p><b>The Anthropocene – an introduction </b></p>\n<p>Human civilization has grown around the stable shorelines, climate and diverse biosphere of the last ten millennia or so of the Holocene Epoch:  the latest of many interglacial phases of the Quaternary ","2022-04-19 17:00:00","2022-04-19 18:00:00","Deep Dive Training","deep-dive-training",""
"106","European Theatre Convention Workshop: Champion Presentations","","European Theatre Convention Workshop: Champion Presentations","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p>Present your work, projects, ideas, and successes to your colleagues during this Global Network Meeting where Champions can showcase their sustainability journeys and invite peer-to-peer review and co-creation.</p>","2022-04-20 15:00:00","2022-04-20 16:00:00","ETC Events","etc-events",""
"107","Workshop: Developing Your Energy Baseline","","Workshop: Developing Your Energy Baseline","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p><span style=\"font-weight: 400;\">This workshop outlines how to develop your energy baseline &#8211; the amount of energy you use. This reference point is needed for your organization to compare energy performance before and after changes are made to you","2022-04-26 15:00:00","2022-04-26 16:00:00","Workshop","workshop",""
"108","European Theatre Convention Pilot Finale","","European Theatre Convention Pilot Finale","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p>In our final meeting, we will summarize our Pilot and have a chance to debrief and reflect on our experience, as well as discuss next steps for the future of Ki Futures and the ETC!</p>","2022-04-27 15:00:00","2022-04-27 16:00:00","ETC Events","etc-events",""
"109","Orientation Session","","Orientation Session","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p>These biweekly orientation sessions help new champions and those who would like to have guidance into Ki Futures to understand the structure of the program and where to find everything they need to support their sustainability journey.</p>","2022-04-28 17:00:00","2022-04-28 18:00:00","Office Hours","office-hours",""
"110","Ki Futures Launch! Global Network Meeting","","Ki Futures Launch! Global Network Meeting","2022-07-21 13:24:00","2022-07-21 13:24:07","","<p>Welcome to Ki Futures! We are so excited to start this journey with you. Join us to find out more about what you can expect from Ki Futures and how to start seeing everything with a sustainability lens.</p>","2022-01-18 17:00:00","2022-01-18 18:00:00","Global Network Meeting","global-network-meeting",""
"111","European Theatre Convention Ki Futures Launch! Global Network Meeting","","European Theatre Convention Ki Futures Launch! Global Network Meeting","2022-07-21 13:24:00","2022-07-21 13:24:07","","<p>Welcome to Ki Futures! Join us to find out more about the program and what to expect over the three month Pilot.</p>","2022-01-19 15:00:00","2022-01-19 16:00:00","ETC Events","etc-events",""
"112","Alice &#8211; Regional Network Meeting","","Alice &#8211; Regional Network Meeting","2022-07-21 13:24:00","2022-07-21 13:24:07","","","2022-01-25 11:00:00","2022-01-25 12:00:00","Regional Network Meeting","regional-network-meeting",""
"113","European Theatre Convention Core Training: Introduction to Sustainability for Culture","","European Theatre Convention Core Training: Introduction to Sustainability for Culture","2022-07-21 13:24:00","2022-07-21 13:24:07","","<p>In this Core Training session, we will be introduced to &#8220;sustainability&#8221; to discover what this word means, how to use it effectively, and how it applies to us as cultural professionals.</p>\n<p>&nbsp;</p>","2022-01-26 15:00:00","2022-01-26 16:00:00","ETC Events","etc-events",""
"114","Douglas &#8211; Regional Network Meeting","","Douglas &#8211; Regional Network Meeting","2022-07-21 13:24:00","2022-07-21 13:24:07","","","2022-01-27 15:00:00","2022-01-27 16:00:00","Regional Network Meeting","regional-network-meeting",""
"115","Kim &#8211; Regional Network Meeting","","Kim &#8211; Regional Network Meeting","2022-07-21 13:24:00","2022-07-21 13:24:07","","","2022-01-27 18:00:00","2022-01-27 19:00:00","Regional Network Meeting","regional-network-meeting",""
"116","Nicole &#8211; Regional Network Meeting","","Nicole &#8211; Regional Network Meeting","2022-07-21 13:24:00","2022-07-21 13:24:07","","","2022-01-28 11:00:00","2022-01-28 12:00:00","Regional Network Meeting","regional-network-meeting",""
"117","Christopher &#8211; Regional Network Meeting","","Christopher &#8211; Regional Network Meeting","2022-07-21 13:24:00","2022-07-21 13:24:07","","","2022-01-31 13:30:00","2022-01-31 14:30:00","Regional Network Meeting","regional-network-meeting",""
"118","Core Training: Introduction to Sustainability for Culture","","Core Training: Introduction to Sustainability for Culture","2022-07-21 13:24:00","2022-07-21 13:24:07","","<p>We&#8217;ve all heard the word, we probably know what the SDGs are, and how important the Paris Agreement is for preventing the extinction of our species. But how does this actually apply to our daily jobs? Join us to learn about sustainability in the ","2022-02-01 17:00:00","2022-02-01 18:00:00","Core Training","core-training",""
"119","European Theatre Convention Workshop: Setting Yourself Up For Success","","European Theatre Convention Workshop: Setting Yourself Up For Success","2022-07-21 13:24:00","2022-07-21 13:24:07","","<p><span style=\"font-weight: 400;\">Join our first workshop to start off Ki Futures with all of the tools and information you need to succeed! We will go over the various things you will need for your sustainability journey &#8211; from internal policies a","2022-02-02 15:00:00","2022-02-02 16:00:00","ETC Events","etc-events",""
"120","Workshops: Setting Yourself Up for Success","","Workshops: Setting Yourself Up for Success","2022-07-21 13:24:00","2022-07-21 13:24:07","","<p><span style=\"font-weight: 400;\">Join our first workshop to start off Ki Futures with all of the tools and information you need to succeed! We will go over the various things you will need for your sustainability journey &#8211; from internal policies a","2022-02-08 17:00:00","2022-02-08 18:00:00","Workshop","workshop",""
"121","European Theatre Convention Regional Network Meeting","","European Theatre Convention Regional Network Meeting","2022-07-21 13:24:00","2022-07-21 13:24:07","","<p>Join ETC Coach Thierry Leonardi for our first Regional Network Meeting where we will meet all the Champions and discuss collective action for sustainability.</p>","2022-02-09 15:00:00","2022-02-09 16:00:00","ETC Events","etc-events",""
"122","Deep Dive: Futures Literacy with Loes Damhof","","Deep Dive: Futures Literacy with Loes Damhof","2022-07-21 13:24:00","2022-07-21 13:24:07","","<p><span style=\"font-weight: 400;\">Futures Literacy is a meta-skill helping individuals understand how the future affects the present and how human actions affect the future. In this training, we take a deep-dive into Futures Literacy and its application ","2022-02-15 17:00:00","2022-02-15 18:00:00","Deep Dive Training","deep-dive-training",""
"123","European Theatre Convention Deep Dive Training: Audience Engagement","","European Theatre Convention Deep Dive Training: Audience Engagement","2022-07-21 13:24:00","2022-07-21 13:24:07","","<p>We welcome Jessica Litwak, Director of the H.E.A.T. initiative and expert in theatre for social change and community engagement to teach us how to engage our audiences and be effective change makers with our communities.</p>","2022-02-16 15:00:00","2022-02-16 16:00:00","ETC Events","etc-events",""
"124","Global Network Meeting: Guest Speaker Cecilia Lam","","Global Network Meeting: Guest Speaker Cecilia Lam","2022-07-21 13:24:00","2022-07-21 13:24:07","","<p>Join us in welcoming Cecilia Lam, Director of the Jockey Club Museum of Climate Change in Hong Kong, who will present her museum&#8217;s incredible work and programming to inspire us all.</p>","2022-02-23 00:00:00","2022-02-23 01:00:00","Global Network Meeting","global-network-meeting",""
"125","European Theatre Convention Core Training: Social Sustainability","","European Theatre Convention Core Training: Social Sustainability","2022-07-21 13:24:00","2022-07-21 13:24:07","","<p>Our Core Training on Social Sustainability introduces the concept of Social Sustainability and why decolonization applies to us all. Learn how to break down structural racism and be advocates for social justice daily. Come to ask and answer the uncomfo","2022-02-23 15:00:00","2022-02-23 16:00:00","ETC Events","etc-events",""
"128","Office Hours","","Office Hours","2022-07-26 05:56:35","2022-07-26 05:56:35","","<p>These biweekly office hours help new champions and those who would like to have guidance into Ki Futures to understand the structure of the program and where to find everything they need to support their sustainability journey.</p>","2022-12-08 00:00:00","2022-12-08 01:00:00","Office Hours","office-hours",""
"129","Alice &#8211; Regional Network Meeting","","Alice &#8211; Regional Network Meeting","2022-07-26 05:56:35","2022-07-26 05:56:35","","","2022-12-13 11:00:00","2022-12-13 12:00:00","Regional Network Meeting","regional-network-meeting",""
